sample_id,subject_id,source,activity,original_label,canonical_label,sampling_rate_hz,window_seconds,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag,split_method,split
sisfall_D13_SA04_R03,sisfall_SA04,SisFall,D13,D13,normal_activity,50.0,2.5,1.3334,13.0765,13.8772,0.008644,0.744624,11.7646,0.24,0.0,subject_level_split,train
sisfall_D13_SA04_R04,sisfall_SA04,SisFall,D13,D13,normal_activity,50.0,2.5,1.4475,14.1955,13.583,0.010419,1.090624,13.6594,0.56,0.0,subject_level_split,train
sisfall_D13_SA04_R05,sisfall_SA04,SisFall,D13,D13,normal_activity,50.0,2.5,1.4144,13.8709,15.1468,0.006054,0.7847,12.4094,0.28,0.0,subject_level_split,train
sisfall_D14_SA04_R01,sisfall_SA04,SisFall,D14,D14,normal_activity,50.0,2.5,1.0447,10.2447,1.5216,0.000248,0.014633,11.1777,2.5,0.0,subject_level_split,train
sisfall_D14_SA04_R02,sisfall_SA04,SisFall,D14,D14,normal_activity,50.0,2.5,1.3588,13.325,22.8376,0.014678,0.991693,12.9184,2.12,0.0,subject_level_split,train
sisfall_D14_SA04_R03,sisfall_SA04,SisFall,D14,D14,normal_activity,50.0,2.5,1.3582,13.3193,11.764,0.011816,0.811769,11.9899,1.56,0.0,subject_level_split,train
sisfall_D14_SA04_R04,sisfall_SA04,SisFall,D14,D14,normal_activity,50.0,2.5,1.2332,12.0931,2.9606,0.000532,0.065927,17.7424,2.22,0.0,subject_level_split,train
sisfall_D14_SA04_R05,sisfall_SA04,SisFall,D14,D14,normal_activity,50.0,2.5,1.4873,14.5851,12.3663,0.0065,0.59485,15.1948,1.92,0.0,subject_level_split,train
sisfall_D15_SA04_R01,sisfall_SA04,SisFall,D15,D15,normal_activity,50.0,2.5,1.0634,10.4287,1.6014,6.9e-05,0.000208,12.6049,1.42,0.0,subject_level_split,train
sisfall_D15_SA04_R02,sisfall_SA04,SisFall,D15,D15,normal_activity,50.0,2.5,1.1132,10.9166,1.8225,0.000236,0.003218,11.718,0.02,0.0,subject_level_split,train
sisfall_D15_SA04_R03,sisfall_SA04,SisFall,D15,D15,normal_activity,50.0,2.5,1.2215,11.9792,2.3913,0.003864,0.051094,13.7569,1.3,0.0,subject_level_split,train
sisfall_D15_SA04_R04,sisfall_SA04,SisFall,D15,D15,normal_activity,50.0,2.5,1.1429,11.2084,1.7565,0.000308,0.005244,12.2172,0.02,0.0,subject_level_split,train
sisfall_D15_SA04_R05,sisfall_SA04,SisFall,D15,D15,normal_activity,50.0,2.5,1.1087,10.8728,1.697,0.000235,0.001544,12.8246,0.06,0.0,subject_level_split,train
sisfall_D16_SA04_R01,sisfall_SA04,SisFall,D16,D16,normal_activity,50.0,2.5,1.2268,12.0307,3.8116,0.00181,0.110323,15.2558,2.2,0.0,subject_level_split,train
sisfall_D16_SA04_R02,sisfall_SA04,SisFall,D16,D16,normal_activity,50.0,2.5,1.1945,11.7136,4.7929,0.00037,0.039132,14.6943,0.9,0.0,subject_level_split,train
sisfall_D16_SA04_R03,sisfall_SA04,SisFall,D16,D16,normal_activity,50.0,2.5,1.1805,11.5772,3.3552,0.000341,0.074825,15.424,0.42,0.0,subject_level_split,train
sisfall_D16_SA04_R04,sisfall_SA04,SisFall,D16,D16,normal_activity,50.0,2.5,1.2211,11.975,2.8286,0.000893,0.137383,14.9794,1.68,0.0,subject_level_split,train
sisfall_D16_SA04_R05,sisfall_SA04,SisFall,D16,D16,normal_activity,50.0,2.5,1.2305,12.0668,4.8559,0.000761,0.048665,15.1378,1.24,0.0,subject_level_split,train
sisfall_D17_SA04_R01,sisfall_SA04,SisFall,D17,D17,normal_activity,50.0,2.5,1.0551,10.3468,5.1427,0.001957,0.146586,13.7551,0.04,0.0,subject_level_split,train
sisfall_D17_SA04_R02,sisfall_SA04,SisFall,D17,D17,normal_activity,50.0,2.5,0.9419,9.2367,2.5528,8.7e-05,0.000157,14.5733,0.82,0.0,subject_level_split,train
sisfall_D17_SA04_R03,sisfall_SA04,SisFall,D17,D17,normal_activity,50.0,2.5,1.0708,10.5014,4.0086,0.001349,0.074253,14.58,2.46,0.0,subject_level_split,train
sisfall_D17_SA04_R04,sisfall_SA04,SisFall,D17,D17,normal_activity,50.0,2.5,1.0676,10.4697,5.3087,0.00159,0.076335,14.9913,2.36,0.0,subject_level_split,train
sisfall_D17_SA04_R05,sisfall_SA04,SisFall,D17,D17,normal_activity,50.0,2.5,0.9928,9.7365,2.5343,0.000456,0.037652,14.4706,2.18,0.0,subject_level_split,train
sisfall_D18_SA04_R01,sisfall_SA04,SisFall,D18,D18,impact,50.0,2.5,4.7137,46.2254,107.5082,0.524257,0.8361,18.5306,0.7,1.0,subject_level_split,train
sisfall_D18_SA04_R02,sisfall_SA04,SisFall,D18,D18,impact,50.0,2.5,5.4248,53.1992,175.8375,0.692698,0.825448,17.8772,0.68,1.0,subject_level_split,train
sisfall_D18_SA04_R03,sisfall_SA04,SisFall,D18,D18,impact,50.0,2.5,5.9305,58.1587,224.6582,0.891826,0.85688,19.6583,0.72,1.0,subject_level_split,train
sisfall_D18_SA04_R04,sisfall_SA04,SisFall,D18,D18,impact,50.0,2.5,5.0837,49.8542,216.2581,0.785085,1.115087,19.317,0.76,1.0,subject_level_split,train
sisfall_D18_SA04_R05,sisfall_SA04,SisFall,D18,D18,impact,50.0,2.5,6.408,62.841,206.5885,0.95182,1.123677,19.9403,0.6,1.0,subject_level_split,train
sisfall_D19_SA04_R01,sisfall_SA04,SisFall,D19,D19,impact,50.0,2.5,3.6588,35.8809,63.825,0.446239,0.411086,16.5273,1.06,1.0,subject_level_split,train
sisfall_D19_SA04_R02,sisfall_SA04,SisFall,D19,D19,impact,50.0,2.5,3.6404,35.6998,65.1539,0.439013,0.452036,15.6566,1.04,1.0,subject_level_split,train
sisfall_D19_SA04_R03,sisfall_SA04,SisFall,D19,D19,impact,50.0,2.5,3.8605,37.8587,64.3034,0.509231,0.216761,14.7504,0.74,1.0,subject_level_split,train
sisfall_D19_SA04_R04,sisfall_SA04,SisFall,D19,D19,impact,50.0,2.5,4.5067,44.1957,65.1299,0.482446,0.193143,14.2037,1.1,1.0,subject_level_split,train
sisfall_D19_SA04_R05,sisfall_SA04,SisFall,D19,D19,impact,50.0,2.5,4.2594,41.7708,83.4766,0.507917,0.161695,14.0174,1.04,1.0,subject_level_split,train
sisfall_F01_SA04_R01,sisfall_SA04,SisFall,F01,F01,fall,50.0,2.5,5.4375,53.3233,115.922,0.556018,3.236787,18.1929,0.8,1.0,subject_level_split,train
sisfall_F01_SA04_R02,sisfall_SA04,SisFall,F01,F01,fall,50.0,2.5,10.0254,98.3156,282.9772,1.048045,4.229643,17.1457,0.94,1.0,subject_level_split,train
sisfall_F01_SA04_R03,sisfall_SA04,SisFall,F01,F01,fall,50.0,2.5,5.5962,54.8804,135.5986,0.654309,2.277879,17.2873,0.88,1.0,subject_level_split,train
sisfall_F01_SA04_R04,sisfall_SA04,SisFall,F01,F01,fall,50.0,2.5,6.8986,67.6521,231.9531,0.650862,5.605162,17.4154,0.84,1.0,subject_level_split,train
sisfall_F01_SA04_R05,sisfall_SA04,SisFall,F01,F01,fall,50.0,2.5,5.3792,52.7516,167.6143,0.551491,3.03347,16.5974,0.8,1.0,subject_level_split,train
sisfall_F02_SA04_R01,sisfall_SA04,SisFall,F02,F02,fall,50.0,2.5,7.1208,69.831,168.5639,0.569311,2.181467,16.9649,1.04,1.0,subject_level_split,train
sisfall_F02_SA04_R02,sisfall_SA04,SisFall,F02,F02,fall,50.0,2.5,6.2948,61.7307,228.2874,0.52686,2.07319,16.7688,1.02,1.0,subject_level_split,train
sisfall_F02_SA04_R03,sisfall_SA04,SisFall,F02,F02,fall,50.0,2.5,14.7078,144.2339,489.1027,2.065839,1.093058,16.3425,1.0,1.0,subject_level_split,train
sisfall_F02_SA04_R04,sisfall_SA04,SisFall,F02,F02,fall,50.0,2.5,6.1328,60.1418,187.0926,0.607503,1.767473,16.1883,1.0,1.0,subject_level_split,train
sisfall_F02_SA04_R05,sisfall_SA04,SisFall,F02,F02,fall,50.0,2.5,8.0387,78.833,214.2976,0.703994,1.991826,16.3933,0.96,1.0,subject_level_split,train
sisfall_F03_SA04_R01,sisfall_SA04,SisFall,F03,F03,fall,50.0,2.5,4.5328,44.452,146.5102,0.389365,3.524514,16.4218,0.8,1.0,subject_level_split,train
sisfall_F03_SA04_R02,sisfall_SA04,SisFall,F03,F03,fall,50.0,2.5,10.3568,101.566,339.7365,1.092865,4.152564,15.6358,0.78,1.0,subject_level_split,train
sisfall_F03_SA04_R03,sisfall_SA04,SisFall,F03,F03,fall,50.0,2.5,7.9174,77.6436,333.7561,0.848769,2.344536,16.0323,0.84,1.0,subject_level_split,train
sisfall_F03_SA04_R04,sisfall_SA04,SisFall,F03,F03,fall,50.0,2.5,4.5624,44.7423,113.6722,0.414037,3.09178,16.2214,0.84,1.0,subject_level_split,train
sisfall_F03_SA04_R05,sisfall_SA04,SisFall,F03,F03,fall,50.0,2.5,8.6657,84.9817,273.054,0.71658,2.524885,14.6968,1.0,1.0,subject_level_split,train
sisfall_F04_SA04_R01,sisfall_SA04,SisFall,F04,F04,fall,50.0,2.5,5.9015,57.8735,107.3491,0.540934,1.478317,16.5947,1.0,1.0,subject_level_split,train
sisfall_F04_SA04_R02,sisfall_SA04,SisFall,F04,F04,fall,50.0,2.5,11.6672,114.4157,413.5334,1.497519,4.327615,17.7813,0.9,1.0,subject_level_split,train
sisfall_F04_SA04_R03,sisfall_SA04,SisFall,F04,F04,fall,50.0,2.5,16.7352,164.1165,709.6729,2.967184,4.153061,19.5922,0.92,1.0,subject_level_split,train
sisfall_F04_SA04_R04,sisfall_SA04,SisFall,F04,F04,fall,50.0,2.5,12.8761,126.2713,556.6888,2.587553,3.486869,18.5051,0.92,1.0,subject_level_split,train
sisfall_F04_SA04_R05,sisfall_SA04,SisFall,F04,F04,fall,50.0,2.5,8.2876,81.2734,395.7822,1.025626,1.388022,15.8715,0.96,1.0,subject_level_split,train
sisfall_F05_SA04_R01,sisfall_SA04,SisFall,F05,F05,fall,50.0,2.5,11.0041,107.9129,338.9145,1.482311,2.439772,18.4898,0.82,1.0,subject_level_split,train
sisfall_F05_SA04_R02,sisfall_SA04,SisFall,F05,F05,fall,50.0,2.5,7.4872,73.4243,295.0193,0.964985,2.999923,17.9658,0.86,1.0,subject_level_split,train
sisfall_F05_SA04_R03,sisfall_SA04,SisFall,F05,F05,fall,50.0,2.5,19.68,192.9951,874.2521,4.033975,2.193783,23.0671,0.7,1.0,subject_level_split,train
sisfall_F05_SA04_R04,sisfall_SA04,SisFall,F05,F05,fall,50.0,2.5,15.3669,150.6974,701.5858,3.078207,11.448289,21.7594,0.74,1.0,subject_level_split,train
sisfall_F05_SA04_R05,sisfall_SA04,SisFall,F05,F05,fall,50.0,2.5,8.2766,81.166,254.846,1.139359,2.735427,19.1024,0.88,1.0,subject_level_split,train
sisfall_F06_SA04_R01,sisfall_SA04,SisFall,F06,F06,fall,50.0,2.5,7.0667,69.3011,194.4141,0.706888,2.678543,16.0121,1.06,1.0,subject_level_split,train
sisfall_F06_SA04_R02,sisfall_SA04,SisFall,F06,F06,fall,50.0,2.5,6.3085,61.8653,167.7451,0.586334,2.805162,14.9748,1.12,1.0,subject_level_split,train
sisfall_F06_SA04_R03,sisfall_SA04,SisFall,F06,F06,fall,50.0,2.5,9.9235,97.3159,282.1766,1.025902,2.543367,16.1099,0.94,1.0,subject_level_split,train
sisfall_F06_SA04_R04,sisfall_SA04,SisFall,F06,F06,fall,50.0,2.5,10.1998,100.0254,358.3929,0.936981,2.288273,15.5644,1.16,1.0,subject_level_split,train
sisfall_F06_SA04_R05,sisfall_SA04,SisFall,F06,F06,fall,50.0,2.5,5.5884,54.8033,125.4722,0.532664,1.466001,15.4715,1.1,1.0,subject_level_split,train
sisfall_F07_SA04_R01,sisfall_SA04,SisFall,F07,F07,fall,50.0,2.5,10.1203,99.2465,459.561,1.177546,4.262884,15.3376,1.14,1.0,subject_level_split,train
sisfall_F07_SA04_R02,sisfall_SA04,SisFall,F07,F07,fall,50.0,2.5,10.9541,107.4226,443.0935,1.059019,3.261187,16.8521,1.06,1.0,subject_level_split,train
sisfall_F07_SA04_R03,sisfall_SA04,SisFall,F07,F07,fall,50.0,2.5,6.5913,64.6389,208.763,0.454255,2.745632,14.6855,1.1,1.0,subject_level_split,train
sisfall_F07_SA04_R04,sisfall_SA04,SisFall,F07,F07,fall,50.0,2.5,5.1443,50.4483,137.4371,0.430819,2.413274,16.9588,0.94,1.0,subject_level_split,train
sisfall_F07_SA04_R05,sisfall_SA04,SisFall,F07,F07,fall,50.0,2.5,9.2097,90.3161,413.9774,0.734114,4.409842,14.9371,1.18,1.0,subject_level_split,train
sisfall_F08_SA04_R01,sisfall_SA04,SisFall,F08,F08,fall,50.0,2.5,4.3725,42.8793,82.9958,0.244714,3.31062,16.929,0.76,1.0,subject_level_split,train
sisfall_F08_SA04_R02,sisfall_SA04,SisFall,F08,F08,fall,50.0,2.5,3.8995,38.2413,79.7405,0.270616,2.886268,14.4976,1.0,1.0,subject_level_split,train
sisfall_F08_SA04_R03,sisfall_SA04,SisFall,F08,F08,fall,50.0,2.5,3.5268,34.5857,59.1687,0.267094,3.17791,15.3223,0.66,1.0,subject_level_split,train
sisfall_F08_SA04_R04,sisfall_SA04,SisFall,F08,F08,fall,50.0,2.5,5.939,58.2413,185.9793,0.489445,2.986781,16.1273,0.9,1.0,subject_level_split,train
sisfall_F08_SA04_R05,sisfall_SA04,SisFall,F08,F08,fall,50.0,2.5,4.7306,46.3916,156.4291,0.26332,2.27355,15.3474,0.92,1.0,subject_level_split,train
sisfall_F09_SA04_R01,sisfall_SA04,SisFall,F09,F09,fall,50.0,2.5,9.0216,88.4712,307.3944,0.65873,2.536051,14.3306,1.06,1.0,subject_level_split,train
sisfall_F09_SA04_R02,sisfall_SA04,SisFall,F09,F09,fall,50.0,2.5,8.7906,86.2064,333.9803,0.6824,2.493291,13.2883,1.1,1.0,subject_level_split,train
sisfall_F09_SA04_R03,sisfall_SA04,SisFall,F09,F09,fall,50.0,2.5,7.6397,74.92,282.1504,0.631414,3.429771,13.7388,1.08,1.0,subject_level_split,train
sisfall_F09_SA04_R04,sisfall_SA04,SisFall,F09,F09,fall,50.0,2.5,6.9544,68.1994,231.1224,0.567943,2.196709,15.2276,0.86,1.0,subject_level_split,train
sisfall_F09_SA04_R05,sisfall_SA04,SisFall,F09,F09,fall,50.0,2.5,4.2231,41.4146,121.2307,0.337737,2.720628,15.2797,1.0,1.0,subject_level_split,train
sisfall_F10_SA04_R01,sisfall_SA04,SisFall,F10,F10,fall,50.0,2.5,5.7696,56.5802,208.7169,0.342333,2.071883,15.9389,0.96,1.0,subject_level_split,train
sisfall_F10_SA04_R02,sisfall_SA04,SisFall,F10,F10,fall,50.0,2.5,3.4693,34.0221,69.6346,0.214722,1.515868,15.2018,0.96,1.0,subject_level_split,train
sisfall_F10_SA04_R03,sisfall_SA04,SisFall,F10,F10,fall,50.0,2.5,4.0198,39.421,96.3129,0.201284,1.460438,15.0124,1.0,1.0,subject_level_split,train
sisfall_F10_SA04_R04,sisfall_SA04,SisFall,F10,F10,fall,50.0,2.5,4.4471,43.611,160.2468,0.242665,1.05188,14.8007,0.84,1.0,subject_level_split,train
sisfall_F10_SA04_R05,sisfall_SA04,SisFall,F10,F10,fall,50.0,2.5,4.6824,45.9187,170.6784,0.465409,1.84351,15.9144,0.92,1.0,subject_level_split,train
sisfall_F11_SA04_R01,sisfall_SA04,SisFall,F11,F11,fall,50.0,2.5,5.2028,51.0219,154.7651,0.274201,1.341123,13.2653,1.12,1.0,subject_level_split,train
sisfall_F11_SA04_R02,sisfall_SA04,SisFall,F11,F11,fall,50.0,2.5,3.1761,31.1471,63.2513,0.125565,1.484434,13.2031,1.16,1.0,subject_level_split,train
sisfall_F11_SA04_R03,sisfall_SA04,SisFall,F11,F11,fall,50.0,2.5,2.8163,27.618,45.4721,0.09531,1.148195,13.3312,1.2,0.0,subject_level_split,train
sisfall_F11_SA04_R04,sisfall_SA04,SisFall,F11,F11,fall,50.0,2.5,3.0575,29.9837,62.7737,0.096078,1.330676,13.0064,1.18,1.0,subject_level_split,train
sisfall_F11_SA04_R05,sisfall_SA04,SisFall,F11,F11,fall,50.0,2.5,4.1328,40.5288,121.0715,0.199991,1.327257,13.6414,1.08,1.0,subject_level_split,train
sisfall_F12_SA04_R01,sisfall_SA04,SisFall,F12,F12,fall,50.0,2.5,5.5058,53.9939,201.499,0.284964,1.927075,14.713,1.0,1.0,subject_level_split,train
sisfall_F12_SA04_R02,sisfall_SA04,SisFall,F12,F12,fall,50.0,2.5,4.8558,47.6195,109.0544,0.20549,1.799501,15.1718,1.1,1.0,subject_level_split,train
sisfall_F12_SA04_R03,sisfall_SA04,SisFall,F12,F12,fall,50.0,2.5,3.6669,35.9604,68.5345,0.135117,1.963182,14.8194,1.04,1.0,subject_level_split,train
sisfall_F12_SA04_R04,sisfall_SA04,SisFall,F12,F12,fall,50.0,2.5,4.6087,45.1959,99.0592,0.230652,2.066589,15.1785,1.14,1.0,subject_level_split,train
sisfall_F12_SA04_R05,sisfall_SA04,SisFall,F12,F12,fall,50.0,2.5,4.5709,44.8251,122.1697,0.237293,1.912237,14.8044,1.06,1.0,subject_level_split,train
sisfall_F13_SA04_R01,sisfall_SA04,SisFall,F13,F13,fall,50.0,2.5,2.2819,22.3777,23.5762,0.08521,3.083481,14.1954,1.2,0.0,subject_level_split,train
sisfall_F13_SA04_R02,sisfall_SA04,SisFall,F13,F13,fall,50.0,2.5,2.3488,23.0337,38.8274,0.082566,3.470029,15.5705,1.14,0.0,subject_level_split,train
sisfall_F13_SA04_R03,sisfall_SA04,SisFall,F13,F13,fall,50.0,2.5,5.3433,52.3998,152.7715,0.278788,2.025749,16.2591,1.06,1.0,subject_level_split,train
sisfall_F13_SA04_R04,sisfall_SA04,SisFall,F13,F13,fall,50.0,2.5,2.5972,25.4696,63.7953,0.090218,4.339145,14.7596,1.1,0.0,subject_level_split,train
sisfall_F13_SA04_R05,sisfall_SA04,SisFall,F13,F13,fall,50.0,2.5,3.3938,33.2818,90.1886,0.13215,1.207086,16.3363,1.02,1.0,subject_level_split,train
sisfall_F14_SA04_R01,sisfall_SA04,SisFall,F14,F14,fall,50.0,2.5,4.4227,43.3723,99.7612,0.279989,0.777178,12.3591,1.08,1.0,subject_level_split,train
sisfall_F14_SA04_R02,sisfall_SA04,SisFall,F14,F14,fall,50.0,2.5,4.1983,41.1714,146.9767,0.182883,0.799368,13.2203,1.16,1.0,subject_level_split,train
sisfall_F14_SA04_R03,sisfall_SA04,SisFall,F14,F14,fall,50.0,2.5,4.0981,40.189,113.9768,0.189147,0.678223,12.581,1.14,1.0,subject_level_split,train
sisfall_F14_SA04_R04,sisfall_SA04,SisFall,F14,F14,fall,50.0,2.5,3.4569,33.9007,83.2805,0.169162,0.811554,13.053,1.12,1.0,subject_level_split,train
sisfall_F14_SA04_R05,sisfall_SA04,SisFall,F14,F14,fall,50.0,2.5,4.0421,39.6394,85.0995,0.223687,0.892559,12.7704,1.16,1.0,subject_level_split,train
sisfall_F15_SA04_R01,sisfall_SA04,SisFall,F15,F15,fall,50.0,2.5,3.2085,31.4644,42.9408,0.150072,1.159171,14.4375,0.94,1.0,subject_level_split,train
sisfall_F15_SA04_R02,sisfall_SA04,SisFall,F15,F15,fall,50.0,2.5,4.2958,42.1278,112.7607,0.249853,1.380261,15.1473,1.18,1.0,subject_level_split,train
sisfall_F15_SA04_R03,sisfall_SA04,SisFall,F15,F15,fall,50.0,2.5,3.6105,35.407,62.3438,0.133075,1.475874,12.9871,1.14,1.0,subject_level_split,train
sisfall_F15_SA04_R04,sisfall_SA04,SisFall,F15,F15,fall,50.0,2.5,4.9488,48.531,119.0003,0.234865,1.389978,13.1112,1.16,1.0,subject_level_split,train
sisfall_F15_SA04_R05,sisfall_SA04,SisFall,F15,F15,fall,50.0,2.5,3.5932,35.2369,67.3777,0.16889,1.345237,13.299,1.16,1.0,subject_level_split,train
sisfall_D01_SA05_R01,sisfall_SA05,SisFall,D01,D01,normal_activity,50.0,2.5,1.529,14.9948,18.6344,0.033332,0.038565,12.076,0.68,0.0,subject_level_split,train
sisfall_D02_SA05_R01,sisfall_SA05,SisFall,D02,D02,normal_activity,50.0,2.5,1.7059,16.7289,24.1637,0.091625,0.092775,13.1002,0.64,0.0,subject_level_split,train
sisfall_D03_SA05_R01,sisfall_SA05,SisFall,D03,D03,normal_activity,50.0,2.5,2.757,27.0374,52.5879,0.638102,0.489378,15.246,0.8,0.0,subject_level_split,train
sisfall_D04_SA05_R01,sisfall_SA05,SisFall,D04,D04,normal_activity,50.0,2.5,6.2184,60.9814,156.8071,1.886046,1.376657,24.0333,0.22,1.0,subject_level_split,train
sisfall_D05_SA05_R01,sisfall_SA05,SisFall,D05,D05,normal_activity,50.0,2.5,1.3112,12.8583,8.1797,0.007274,0.658301,11.4116,2.24,0.0,subject_level_split,train
sisfall_D05_SA05_R02,sisfall_SA05,SisFall,D05,D05,normal_activity,50.0,2.5,1.8806,18.4427,20.6341,0.017612,0.612826,10.9436,0.0,0.0,subject_level_split,train
sisfall_D05_SA05_R03,sisfall_SA05,SisFall,D05,D05,normal_activity,50.0,2.5,2.1163,20.7535,35.803,0.038023,0.534191,11.4888,0.06,0.0,subject_level_split,train
sisfall_D05_SA05_R04,sisfall_SA05,SisFall,D05,D05,normal_activity,50.0,2.5,1.786,17.5143,30.3615,0.027437,0.146928,11.1305,0.06,0.0,subject_level_split,train
sisfall_D05_SA05_R05,sisfall_SA05,SisFall,D05,D05,normal_activity,50.0,2.5,1.2558,12.3147,9.5527,0.006607,0.565594,11.327,2.42,0.0,subject_level_split,train
sisfall_D06_SA05_R01,sisfall_SA05,SisFall,D06,D06,normal_activity,50.0,2.5,1.3089,12.8364,28.0367,0.00499,0.046072,11.0441,2.36,0.0,subject_level_split,train
sisfall_D06_SA05_R02,sisfall_SA05,SisFall,D06,D06,normal_activity,50.0,2.5,2.9841,29.2636,95.0107,0.170227,0.416693,12.6582,2.1,0.0,subject_level_split,train
sisfall_D06_SA05_R03,sisfall_SA05,SisFall,D06,D06,normal_activity,50.0,2.5,1.3685,13.4201,24.6623,0.004786,0.034006,11.0199,2.26,0.0,subject_level_split,train
sisfall_D06_SA05_R04,sisfall_SA05,SisFall,D06,D06,normal_activity,50.0,2.5,3.8077,37.3412,94.2426,0.324831,0.691905,13.3622,1.82,1.0,subject_level_split,train
sisfall_D06_SA05_R05,sisfall_SA05,SisFall,D06,D06,normal_activity,50.0,2.5,3.7302,36.5808,108.7222,0.713495,0.616732,15.7044,0.46,1.0,subject_level_split,train
sisfall_D07_SA05_R01,sisfall_SA05,SisFall,D07,D07,normal_activity,50.0,2.5,1.0708,10.5005,4.1507,0.000465,0.092503,10.6188,2.44,0.0,subject_level_split,train
sisfall_D07_SA05_R02,sisfall_SA05,SisFall,D07,D07,normal_activity,50.0,2.5,0.9961,9.7686,1.7587,0.00014,0.007986,9.6678,1.1,0.0,subject_level_split,train
sisfall_D07_SA05_R03,sisfall_SA05,SisFall,D07,D07,normal_activity,50.0,2.5,1.0266,10.0672,3.1919,0.000196,0.061619,10.6316,0.02,0.0,subject_level_split,train
sisfall_D07_SA05_R04,sisfall_SA05,SisFall,D07,D07,normal_activity,50.0,2.5,0.9999,9.8058,2.1444,0.000114,0.002152,10.2274,2.36,0.0,subject_level_split,train
sisfall_D07_SA05_R05,sisfall_SA05,SisFall,D07,D07,normal_activity,50.0,2.5,1.122,11.0032,1.9633,0.001442,0.122023,10.9767,2.3,0.0,subject_level_split,train
sisfall_D08_SA05_R01,sisfall_SA05,SisFall,D08,D08,normal_activity,50.0,2.5,1.0,9.8067,2.1287,0.000167,0.003586,9.9602,2.28,0.0,subject_level_split,train
sisfall_D08_SA05_R02,sisfall_SA05,SisFall,D08,D08,normal_activity,50.0,2.5,1.02,10.003,2.5868,0.000203,0.001018,10.0322,2.44,0.0,subject_level_split,train
sisfall_D08_SA05_R03,sisfall_SA05,SisFall,D08,D08,normal_activity,50.0,2.5,2.1629,21.2112,25.339,0.078945,0.202428,10.8198,1.76,0.0,subject_level_split,train
sisfall_D08_SA05_R04,sisfall_SA05,SisFall,D08,D08,normal_activity,50.0,2.5,1.9535,19.1574,21.631,0.082821,0.335215,11.2571,1.1,0.0,subject_level_split,train
sisfall_D08_SA05_R05,sisfall_SA05,SisFall,D08,D08,normal_activity,50.0,2.5,2.2217,21.787,39.6585,0.11162,0.282069,11.3242,1.72,0.0,subject_level_split,train
sisfall_D09_SA05_R01,sisfall_SA05,SisFall,D09,D09,normal_activity,50.0,2.5,1.2507,12.2653,15.1027,0.005592,0.054976,11.0377,1.62,0.0,subject_level_split,train
sisfall_D09_SA05_R02,sisfall_SA05,SisFall,D09,D09,normal_activity,50.0,2.5,1.2073,11.8394,4.9517,0.003086,0.0758,11.4778,0.74,0.0,subject_level_split,train
sisfall_D09_SA05_R03,sisfall_SA05,SisFall,D09,D09,normal_activity,50.0,2.5,1.1597,11.3725,5.0821,0.002759,0.054994,10.7499,0.4,0.0,subject_level_split,train
sisfall_D09_SA05_R04,sisfall_SA05,SisFall,D09,D09,normal_activity,50.0,2.5,1.1616,11.3917,5.5863,0.002431,0.084477,11.5801,0.28,0.0,subject_level_split,train
sisfall_D09_SA05_R05,sisfall_SA05,SisFall,D09,D09,normal_activity,50.0,2.5,1.0954,10.7426,3.6935,0.000667,0.057245,11.9846,0.04,0.0,subject_level_split,train
sisfall_D10_SA05_R01,sisfall_SA05,SisFall,D10,D10,normal_activity,50.0,2.5,1.2735,12.4887,11.6737,0.002575,0.007526,10.4585,2.4,0.0,subject_level_split,train
sisfall_D10_SA05_R02,sisfall_SA05,SisFall,D10,D10,normal_activity,50.0,2.5,2.1044,20.6372,33.2752,0.096806,0.184453,11.3638,1.12,0.0,subject_level_split,train
sisfall_D10_SA05_R03,sisfall_SA05,SisFall,D10,D10,normal_activity,50.0,2.5,1.9207,18.8352,16.8184,0.056763,0.096549,11.9715,0.1,0.0,subject_level_split,train
sisfall_D10_SA05_R04,sisfall_SA05,SisFall,D10,D10,normal_activity,50.0,2.5,1.9141,18.7708,26.8375,0.12254,0.147539,11.7425,1.24,0.0,subject_level_split,train
sisfall_D10_SA05_R05,sisfall_SA05,SisFall,D10,D10,normal_activity,50.0,2.5,1.8533,18.175,19.1074,0.084678,0.144836,11.3389,1.34,0.0,subject_level_split,train
sisfall_D11_SA05_R01,sisfall_SA05,SisFall,D11,D11,normal_activity,50.0,2.5,1.0486,10.2829,5.0252,0.000493,0.004339,12.9071,2.42,0.0,subject_level_split,train
sisfall_D11_SA05_R02,sisfall_SA05,SisFall,D11,D11,normal_activity,50.0,2.5,1.0553,10.3493,6.6068,0.000961,0.048029,13.6738,2.42,0.0,subject_level_split,train
sisfall_D11_SA05_R03,sisfall_SA05,SisFall,D11,D11,normal_activity,50.0,2.5,1.022,10.0219,2.7952,0.000235,0.001723,14.0382,2.46,0.0,subject_level_split,train
sisfall_D11_SA05_R04,sisfall_SA05,SisFall,D11,D11,normal_activity,50.0,2.5,2.4734,24.2557,43.6944,0.068932,0.272506,12.787,1.04,0.0,subject_level_split,train
sisfall_D11_SA05_R05,sisfall_SA05,SisFall,D11,D11,normal_activity,50.0,2.5,4.3635,42.7915,134.2527,0.246221,0.396045,14.0447,1.82,1.0,subject_level_split,train
